Layer                  Resolution                sigma2_HitDX              sigma2_trackDX            DoubleDifference           sigma2_expectedW1            sigma2_clusterW1 
TIB_L1                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
TIB_L2                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
TIB_L3                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
TIB_L4                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
Side_TID                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
Wheel_TID                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
Ring_TID                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
TOB_L1                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
TOB_L2                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
TOB_L3                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
TOB_L4                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
TOB_L5                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
TOB_L6                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
Side_TEC                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
Wheel_TEC                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
Ring_TEC                        -nan                     25.5135                     25.5406                  0.00127727                     9.88269                     6.65263
