Layer                  Resolution                sigma2_HitDX              sigma2_trackDX             sigma2_trackDXE     sigma2_DoubleDifference 
TIB_L1                    0.153758                      180368                      180375                  0.00842792                   0.0557112
TIB_L2                    0.151801                      179148                      179160                   0.0092511                    0.055338
TIB_L3                     0.14859                      101209                      101212                  0.00150513                    0.045663
TIB_L4                    0.148245                      103503                      103503                  0.00156416                   0.0455176
Side_TID                    0.147986                      150302                      150308                  0.00172762                   0.0455272
Wheel_TID                    0.146962                      153804                      153811                  0.00108435                   0.0442802
Ring_TID                    0.147919                      155111                      155118                 0.000892009                    0.044652
TOB_L1                    0.147431                      109507                      109514                  0.00102791                   0.0444998
TOB_L2                    0.146219                      111211                      111213                 0.000934248                   0.0436942
TOB_L3                    0.145619                      111409                      111415                 0.000736562                   0.0431462
TOB_L4                     0.14549                      112884                      112884                 0.000700929                   0.0430357
TOB_L5                    0.147042                      245689                      245697                  0.00151891                   0.0447617
TOB_L6                    0.147267                      236308                      236312                  0.00290688                    0.046282
Side_TEC                           0                           0                           0                           0                           0
Wheel_TEC                    0.146873                      108420                      108420                  0.00106913                   0.0442127
Ring_TEC                    0.153169                     75586.2                     75589.9                  0.00146322                    0.048385
TIB_All                    0.151639                      144329                      144335                  0.00475914                   0.0507481
TOB_All                    0.146694                      145142                      145147                  0.00116729                   0.0442058
TID_All                    0.148681                      144878                      144883                  0.00209133                   0.0463031
TEC_All                    0.148683                      145498                      145503                   0.0020991                   0.0463126
Pixel_Barrel                           0                           0                           0                           0                           0
Pixel_EndcapDisk                           0                           0                           0                           0                           0
