Layer                  Resolution                sigma2_HitDX              sigma2_trackDX             sigma2_trackDXE     sigma2_DoubleDifference 
TIB_L1                    0.172131                      223810                      223802                  0.00811616                   0.0673743
TIB_L2                    0.143091                      268856                      268976                   0.0135879                    0.054538
TIB_L3                    0.161787                      106301                      106302                  0.00156228                   0.0539124
TIB_L4                    0.126722                     51164.6                       51226                  0.00239374                   0.0345106
Side_TID                     0.17909                      180528                      180711                  0.00341803                   0.0675643
Wheel_TID                    0.197285                      172869                      172935                 0.000947323                   0.0787902
Ring_TID                    0.180396                      185882                      185905                  0.00138942                   0.0664748
TOB_L1                    0.170818                     76773.3                     76748.6                 0.000642536                   0.0589998
TOB_L2                    0.182258                     62815.6                     62874.9                 0.000606723                   0.0670424
TOB_L3                    0.166405                      154575                      154599                 0.000754406                   0.0561359
TOB_L4                   0.0844271                    0.279603                    0.420288                  2.9627e-05                   0.0142855
TOB_L5                   0.0846207                      141637                      141683                  0.00227266                    0.016594
TOB_L6                   0.0400775                      135831                      136554                  0.00480097                  0.00801338
Side_TEC                           0                           0                           0                           0                           0
Wheel_TEC                    0.120119                     45836.7                     45879.7                  0.00173712                   0.0305945
Ring_TEC                    0.171899                     68208.2                     68299.5                  0.00106122                   0.0601596
TIB_All                    0.160656                      174531                      174590                  0.00515189                   0.0567729
TOB_All                     0.18299                      136773                      136938                  0.00104603                   0.0680166
TID_All                    0.177929                      155181                      155296                   0.0024928                   0.0658106
TEC_All                    0.178037                      156654                      156770                  0.00250997                   0.0659041
Pixel_Barrel                           0                           0                           0                           0                           0
Pixel_EndcapDisk                           0                           0                           0                           0                           0
