Layer                  Resolution                sigma2_HitDX              sigma2_trackDX            DoubleDifference           sigma2_expectedW1            sigma2_clusterW1 
TIB_L1                        -nan                     11.6904                     11.6918                 0.000135045                     18.3735                     8.41257
TIB_L2                        -nan                     11.4904                     11.4945                 0.000150951                      19.178                     8.28464
TIB_L3                        -nan                     13.6717                     13.7266                 0.000199001                     15.4019                     6.75039
TIB_L4                        -nan                     13.9283                     14.0237                 0.000228708                     16.9074                     6.22234
Side_TID                           0                           0                           0                           0                           0                           0
Wheel_TID                           0                           0                           0                           0                           0                           0
Ring_TID                           0                           0                           0                           0                           0                           0
TOB_L1                        -nan                     28.4653                      28.475                  0.00126405                     8.57572                     7.82205
TOB_L2                        -nan                     27.3797                     27.3987                  0.00246894                     8.15204                     7.69696
TOB_L3                        -nan                     30.3238                     30.3339                  0.00100365                     5.19625                     5.58883
TOB_L4                        -nan                     31.7572                     31.7601                  0.00109885                     3.28007                     3.79825
TOB_L5                        -nan                     32.2317                     32.2387                 0.000883031                     3.28729                     3.76975
TOB_L6                        -nan                     35.3409                     35.3461                 0.000640211                     1.68245                      2.6339
Side_TEC                           0                           0                           0                           0                           0                           0
Wheel_TEC                           0                           0                           0                           0                           0                           0
Ring_TEC                           0                           0                           0                           0                           0                           0
